"Rank","Player","ATT","YDS","Y/A","LG","20+","TD","TGT","REC","YDS","Y/R","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Ashton Jeanty (LV)","21","138","6.6","64","1","1","2","2","17","8.5","2","1","1","31.5","31.5","99.2%"
"2","Josh Jacobs (GB)","22","86","3.9","19","0","2","4","4","71","17.8","0","0","1","27.7","27.7","99.7%"
"3","Kenneth Gainwell (PIT)","19","99","5.2","15","0","2","6","6","35","5.8","0","0","1","25.4","25.4","43.1%"
"4","Bijan Robinson (ATL)","17","75","4.4","14","0","1","5","4","106","26.5","0","0","1","24.1","24.1","99.8%"
"5","Woody Marks (HOU)","17","69","4.1","18","0","1","5","4","50","12.5","1","0","1","23.9","23.9","68.4%"
"6","Justice Hill (BAL)","3","76","25.3","71","1","1","6","5","41","8.2","1","0","1","23.7","23.7","15.1%"
"7","Omarion Hampton (LAC)","12","128","10.7","54","2","1","5","5","37","7.4","0","0","1","22.5","22.5","91.0%"
"8","Bucky Irving (TB)","15","63","4.2","15","0","0","5","5","102","20.4","1","1","1","20.5","20.5","96.6%"
"9","Christian McCaffrey (SF)","17","49","2.9","11","0","0","11","6","92","15.3","1","0","1","20.1","20.1","99.8%"
"10","James Cook III (BUF)","22","117","5.3","15","0","1","4","3","18","6.0","0","0","1","19.5","19.5","99.4%"
"11","Travis Etienne Jr. (JAC)","19","124","6.5","48","1","1","2","1","1","1.0","0","0","1","18.5","18.5","90.4%"
"12","Quinshon Judkins (CLE)","21","82","3.9","11","0","1","4","4","33","8.3","0","0","1","17.5","17.5","91.9%"
"13","De'Von Achane (MIA)","20","99","5.0","21","1","1","2","1","2","2.0","0","0","1","16.1","16.1","99.7%"
"14","Javonte Williams (DAL)","20","85","4.3","13","0","1","3","3","15","5.0","0","0","1","16.0","16.0","97.5%"
"15","RJ Harvey (DEN)","14","58","4.1","9","0","0","5","4","40","10.0","1","0","1","15.8","15.8","73.3%"
"16","Jahmyr Gibbs (DET)","15","91","6.1","24","2","1","2","2","6","3.0","0","0","1","15.7","15.7","99.8%"
"17","Saquon Barkley (PHI)","19","43","2.3","10","0","1","4","4","31","7.8","0","0","1","13.4","13.4","99.8%"
"18","Kendre Miller (NO)","11","65","5.9","18","0","1","0","0","0","0","0","0","1","12.5","12.5","4.8%"
"19","D'Andre Swift (CHI)","14","38","2.7","13","0","1","6","4","22","5.5","0","0","1","12.0","12.0","93.8%"
"20","Tyler Allgeier (ATL)","16","51","3.2","19","0","1","0","0","0","0","0","0","1","11.1","11.1","35.0%"
"21","Breece Hall (NYJ)","14","81","5.8","23","1","0","6","5","30","6.0","0","0","1","11.1","11.1","97.4%"
"22","Kenneth Walker III (SEA)","19","81","4.3","21","2","0","2","1","29","29.0","0","0","1","11.0","11.0","95.4%"
"23","Cam Skattebo (NYG)","25","79","3.2","16","0","0","2","2","11","5.5","0","0","1","11.0","11.0","46.1%"
"24","Isiah Pacheco (KC)","7","35","5.0","12","0","0","3","2","13","6.5","1","0","1","10.8","10.8","81.5%"
"25","TreVeyon Henderson (NE)","7","32","4.6","11","0","1","2","2","14","7.0","0","0","1","10.6","10.6","83.6%"
"26","J.K. Dobbins (DEN)","16","101","6.3","16","0","0","1","1","4","4.0","0","0","1","10.5","10.5","89.0%"
"27","Zach Charbonnet (SEA)","12","39","3.3","15","0","1","2","2","5","2.5","0","0","1","10.4","10.4","77.6%"
"28","Zavier Scott (MIN)","2","1","0.5","2","0","0","8","6","43","7.2","1","0","1","10.4","10.4","0.9%"
"29","Jonathan Taylor (IND)","17","76","4.5","12","0","0","5","5","20","4.0","0","0","1","9.6","9.6","99.6%"
"30","Antonio Gibson (NE)","6","27","4.5","21","1","1","0","0","0","0","0","0","1","8.7","8.7","1.4%"
"31","Emanuel Wilson (GB)","8","44","5.5","13","0","0","3","3","37","12.3","0","0","1","8.1","8.1","13.6%"
"32","Emari Demercado (ARI)","2","8","4.0","8","0","0","2","2","13","6.5","1","0","1","8.1","8.1","5.3%"
"33","Tony Pollard (TEN)","14","64","4.6","21","1","0","3","3","12","4.0","0","0","1","7.6","7.6","86.6%"
"34","Kyren Williams (LAR)","13","77","5.9","11","0","0","4","3","17","5.7","0","1","1","7.4","7.4","99.4%"
"35","Raheem Mostert (LV)","4","62","15.5","37","1","0","1","1","11","11.0","0","0","1","7.3","7.3","1.7%"
"36","Alvin Kamara (NO)","15","70","4.7","17","0","0","5","4","2","0.5","0","0","1","7.2","7.2","96.2%"
"37","Jordan Mason (MIN)","16","57","3.6","9","0","0","3","3","15","5.0","0","0","1","7.2","7.2","78.2%"
"38","Chase Brown (CIN)","10","40","4.0","6","0","0","3","3","31","10.3","0","0","1","7.1","7.1","97.8%"
"39","Chuba Hubbard (CAR)","10","49","4.9","11","0","0","3","3","20","6.7","0","0","1","6.9","6.9","86.6%"
"40","Nick Chubb (HOU)","13","47","3.6","11","0","0","2","2","15","7.5","0","0","1","6.2","6.2","59.5%"
"41","Chris Rodriguez Jr. (WAS)","7","59","8.4","48","1","0","0","0","0","0","0","0","1","5.9","5.9","3.0%"
"42","Derrick Henry (BAL)","8","42","5.3","14","0","0","3","2","16","8.0","0","0","1","5.8","5.8","99.7%"
"43","Jacory Croskey-Merritt (WAS)","7","47","6.7","16","0","0","2","2","10","5.0","0","0","1","5.7","5.7","83.8%"
"44","Trey Benson (ARI)","8","35","4.4","12","0","0","5","5","19","3.8","0","0","1","5.4","5.4","56.9%"
"45","Kareem Hunt (KC)","13","34","2.6","7","0","0","1","1","13","13.0","0","0","1","4.7","4.7","49.6%"
"46","Rachaad White (TB)","6","17","2.8","5","0","0","5","4","29","7.3","0","0","1","4.6","4.6","74.9%"
"47","Rhamondre Stevenson (NE)","9","38","4.2","22","1","0","1","1","3","3.0","0","0","1","4.1","4.1","81.4%"
"48","Brashard Smith (KC)","4","9","2.3","5","0","0","4","3","27","9.0","0","0","1","3.6","3.6","22.3%"
"49","Trevor Etienne (CAR)","7","33","4.7","22","1","0","0","0","0","0","0","0","1","3.3","3.3","1.3%"
"50","Kyle Juszczyk (SF)","0","0","0","0","0","0","3","3","32","10.7","0","0","1","3.2","3.2","0.8%"
"51","Rico Dowdle (CAR)","9","32","3.6","10","0","0","1","1","-2","-2.0","0","0","1","3.0","3.0","67.7%"
"52","Devin Singletary (NYG)","7","28","4.0","8","0","0","0","0","0","0","0","0","1","2.8","2.8","12.3%"
"53","Isaiah Davis (NYJ)","3","9","3.0","6","0","0","2","2","18","9.0","0","0","1","2.7","2.7","18.9%"
"54","Miles Sanders (DAL)","2","8","4.0","5","0","0","2","2","17","8.5","0","0","1","2.5","2.5","1.8%"
