"Rank","Player","ATT","YDS","Y/A","LG","20+","TD","TGT","REC","YDS","Y/R","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Rico Dowdle (CAR)","30","183","6.1","15","0","0","5","4","56","14.0","1","0","1","29.9","29.9","67.7%"
"2","Bijan Robinson (ATL)","19","170","8.9","81","2","1","8","6","68","11.3","0","0","1","29.8","29.8","99.8%"
"3","Cam Skattebo (NYG)","19","98","5.2","18","0","3","2","2","12","6.0","0","0","1","29.0","29.0","46.1%"
"4","De'Von Achane (MIA)","16","128","8.0","49","1","2","6","4","22","5.5","0","0","1","27.0","27.0","99.7%"
"5","Josh Jacobs (GB)","18","93","5.2","16","0","2","5","5","57","11.4","0","0","1","27.0","27.0","99.7%"
"6","D'Andre Swift (CHI)","14","108","7.7","19","0","0","3","2","67","33.5","1","0","1","23.5","23.5","93.8%"
"7","Kimani Vidal (LAC)","18","124","6.9","38","2","0","4","3","14","4.7","1","0","1","19.8","19.8","88.6%"
"8","Jonathan Taylor (IND)","21","123","5.9","30","1","1","4","4","14","3.5","0","0","1","19.7","19.7","99.6%"
"9","Christian McCaffrey (SF)","17","54","3.2","11","0","1","8","7","57","8.1","0","0","1","17.1","17.1","99.8%"
"10","Kyren Williams (LAR)","13","50","3.8","13","0","1","2","2","37","18.5","0","0","1","14.7","14.7","99.4%"
"11","Ashton Jeanty (LV)","23","75","3.3","13","0","1","4","2","11","5.5","0","0","1","14.6","14.6","99.2%"
"12","Rachaad White (TB)","17","65","3.8","10","0","1","3","3","21","7.0","0","0","1","14.6","14.6","74.9%"
"13","Derrick Henry (BAL)","24","122","5.1","12","0","0","2","1","8","8.0","0","0","1","13.0","13.0","99.7%"
"14","Zonovan Knight (ARI)","11","34","3.1","7","0","1","2","1","20","20.0","0","0","1","11.4","11.4","56.3%"
"15","Tyler Allgeier (ATL)","10","32","3.2","21","1","1","1","1","6","6.0","0","0","1","9.8","9.8","35.0%"
"16","James Cook III (BUF)","17","87","5.1","14","0","0","0","0","0","0","0","0","1","8.7","8.7","99.4%"
"17","Sean Tucker (TB)","6","25","4.2","9","0","1","0","0","0","0","0","0","1","8.5","8.5","5.4%"
"18","Ray Davis (BUF)","0","0","0","0","0","0","2","2","19","9.5","1","0","1","7.9","7.9","8.2%"
