"Rank","Player","CMP","ATT","PCT","YDS","Y/A","TD","INT","SACKS","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Patrick Mahomes II (KC)","22","30","73.3","257","8.6","3","0","3","10","32","1","0","1","31.5","31.5","99.2%"
"2","Drake Maye (NE)","18","26","69.2","261","10.0","3","0","1","9","28","0","0","1","27.2","27.2","94.2%"
"3","Jaxson Dart (NYG)","17","25","68.0","195","7.8","1","0","2","13","58","1","0","1","23.6","23.6","74.2%"
"4","Daniel Jones (IND)","22","30","73.3","212","7.1","2","1","1","5","20","1","0","1","23.5","23.5","65.8%"
"5","Jayden Daniels (WAS)","19","26","73.1","211","8.1","3","1","3","10","52","0","1","1","22.6","22.6","96.0%"
"6","Dak Prescott (DAL)","25","34","73.5","261","7.7","3","0","0","2","-1","0","0","1","22.3","22.3","90.8%"
"7","Jacoby Brissett (ARI)","27","44","61.4","320","7.3","2","1","2","3","19","0","0","1","21.7","21.7","8.3%"
"8","Jalen Hurts (PHI)","24","33","72.7","283","8.6","1","1","3","7","13","1","0","1","21.6","21.6","99.7%"
"9","Sam Darnold (SEA)","16","27","59.3","295","10.9","2","0","1","4","2","0","0","1","20.0","20.0","38.9%"
"10","Caleb Williams (CHI)","17","29","58.6","252","8.7","1","0","3","4","-2","1","0","1","19.9","19.9","78.0%"
"11","Baker Mayfield (TB)","17","23","73.9","256","11.1","2","0","1","3","14","0","0","1","19.6","19.6","95.9%"
"12","Bryce Young (CAR)","17","25","68.0","199","8.0","3","1","1","3","5","0","0","1","19.5","19.5","18.4%"
"13","Trevor Lawrence (JAC)","27","42","64.3","258","6.1","2","0","7","3","9","0","0","1","19.2","19.2","38.9%"
"14","Joe Flacco (CIN)","29","45","64.4","219","4.9","2","0","1","0","0","0","0","1","18.8","18.8","45.6%"
"15","Justin Herbert (LAC)","29","38","76.3","264","6.9","2","0","1","1","2","0","0","1","18.8","18.8","93.4%"
"16","Aaron Rodgers (PIT)","21","30","70.0","235","7.8","2","0","0","1","1","0","0","1","17.5","17.5","41.5%"
"17","Josh Allen (BUF)","15","26","57.7","180","6.9","2","2","4","6","42","0","0","1","17.4","17.4","99.7%"
"18","Jared Goff (DET)","23","29","79.3","203","7.0","2","0","1","1","7","0","0","1","16.8","16.8","83.7%"
"19","Jordan Love (GB)","19","26","73.1","259","10.0","1","1","1","7","26","0","0","1","16.0","16.0","79.2%"
"20","Michael Penix Jr. (ATL)","20","32","62.5","250","7.8","1","0","2","2","6","0","0","1","14.6","14.6","16.9%"
"21","Bo Nix (DEN)","19","30","63.3","174","5.8","1","0","1","5","24","0","0","1","13.4","13.4","92.8%"
