"Rank","Player","TGT","REC","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"1","George Pickens (DAL)","11","9","168","18.7","45","3","1","0","0","0","0","1","22.8","22.8","97.3%"
"2","Jaxon Smith-Njigba (SEA)","13","8","162","20.3","61","3","1","0","0","0","0","1","22.2","22.2","99.5%"
"3","Drake London (ATL)","16","10","158","15.8","39","4","1","0","0","0","0","1","21.8","21.8","99.4%"
"4","Kayshon Boutte (NE)","5","5","93","18.6","29","3","2","0","0","0","0","1","21.3","21.3","32.6%"
"5","Marquise Brown (KC)","4","4","45","11.3","20","1","2","0","0","0","0","1","16.5","16.5","32.8%"
"6","Ladd McConkey (LAC)","9","7","100","14.3","42","2","1","0","0","0","0","1","16.0","16.0","98.1%"
"7","DK Metcalf (PIT)","9","4","95","23.8","25","4","1","0","0","0","0","1","15.5","15.5","97.8%"
"8","Ja'Marr Chase (CIN)","12","10","94","9.4","19","0","1","1","-3","0","0","1","15.1","15.1","99.6%"
"9","Brian Thomas Jr. (JAC)","10","8","90","11.3","22","2","1","0","0","0","0","1","15.0","15.0","95.5%"
"10","Tetairoa McMillan (CAR)","5","3","29","9.7","19","0","2","0","0","0","0","1","14.9","14.9","94.7%"
"11","Wan'Dale Robinson (NYG)","7","6","84","14.0","35","2","1","0","0","0","0","1","14.4","14.4","60.6%"
"12","Kendrick Bourne (SF)","9","5","142","28.4","56","2","0","0","0","0","0","1","14.2","14.2","15.5%"
"13","DeMario Douglas (NE)","4","3","71","23.7","53","1","1","0","0","0","0","1","13.1","13.1","11.4%"
"14","Jameson Williams (DET)","7","6","66","11.0","22","1","1","0","0","0","0","1","12.6","12.6","86.5%"
"15","Kameron Johnson (TB)","4","4","64","16.0","34","1","1","0","0","0","0","1","12.4","12.4","0.7%"
"16","Chris Moore (WAS)","5","3","46","15.3","22","1","1","0","0","0","0","1","10.6","10.6","1.6%"
"17","Tez Johnson (TB)","3","1","45","45.0","45","1","1","0","0","0","0","1","10.5","10.5","38.0%"
"18","Josh Downs (IND)","7","6","42","7.0","11","0","1","0","0","0","0","1","10.2","10.2","62.3%"
"19","Matthew Golden (GB)","5","3","86","28.7","35","3","0","2","16","0","0","1","10.2","10.2","62.9%"
"20","Cooper Kupp (SEA)","3","2","40","20.0","29","1","1","0","0","0","0","1","10.0","10.0","70.5%"
"21","Chris Olave (NO)","10","6","98","16.3","53","1","0","0","0","0","0","1","9.8","9.8","92.5%"
"22","Jaylen Waddle (MIA)","8","6","95","15.8","45","1","0","0","0","0","0","1","9.8","9.8","95.0%"
"23","Luke McCaffrey (WAS)","1","1","33","33.0","33","1","1","0","0","0","0","1","9.3","9.3","6.6%"
"24","Tim Patrick (JAC)","1","1","26","26.0","26","1","1","0","0","0","0","1","8.6","8.6","1.1%"
"25","Xavier Worthy (KC)","4","2","20","10.0","14","0","1","1","6","0","0","1","8.6","8.6","92.8%"
"26","A.J. Brown (PHI)","9","6","80","13.3","30","1","0","0","0","0","0","1","8.0","8.0","98.4%"
"27","Zay Jones (ARI)","8","5","79","15.8","24","2","0","0","0","0","0","1","7.9","7.9","0.7%"
"28","Van Jefferson (TEN)","6","4","75","18.8","23","3","0","0","0","0","0","1","7.5","7.5","0.8%"
"29","Tre Tucker (LV)","5","5","70","14.0","37","1","0","0","0","0","0","1","7.0","7.0","43.3%"
"30","Greg Dortch (ARI)","3","3","9","3.0","12","0","1","0","0","0","0","1","6.9","6.9","0.8%"
"31","Tee Higgins (CIN)","8","5","62","12.4","19","0","0","0","0","0","0","1","6.2","6.2","97.7%"
"32","Joshua Palmer (BUF)","2","2","60","30.0","45","1","0","0","0","0","0","1","6.0","6.0","6.4%"
"33","JuJu Smith-Schuster (KC)","3","3","57","19.0","30","1","0","0","0","0","0","1","5.7","5.7","2.8%"
"34","Romeo Doubs (GB)","9","5","55","11.0","21","1","0","0","0","0","0","1","5.5","5.5","55.8%"
"35","Lil'Jordan Humphrey (NYG)","8","4","55","13.8","34","1","0","0","0","0","0","1","5.5","5.5","0.8%"
"36","DJ Moore (CHI)","5","3","42","14.0","17","0","0","2","10","0","0","1","5.2","5.2","85.1%"
"37","Sterling Shepard (TB)","3","2","51","25.5","36","1","0","0","0","0","0","1","5.1","5.1","5.7%"
"38","Luther Burden III (CHI)","4","4","51","12.8","37","1","0","0","0","0","0","1","5.1","5.1","9.6%"
"39","DeVonta Smith (PHI)","5","4","49","12.3","16","0","0","0","0","0","0","1","4.9","4.9","95.2%"
"40","Alec Pierce (IND)","4","2","48","24.0","26","2","0","0","0","0","0","1","4.8","4.8","16.7%"
