"Rank","Player","ATT","YDS","Y/A","LG","20+","TD","REC","TGT","YDS","Y/R","TD","FL","G","FPTS","FPTS/G","ROST"
"52","Jaylen Warren (PIT)","6","7","1.2","7","0","0","3","3","11","3.7","0","0","1","1.8","1.8","83.3%"
"53","Jordan Mims (TEN)","1","5","5.0","5","0","0","2","4","13","6.5","0","0","1","1.8","1.8","0.0%"
"54","Ezekiel Elliott (FA)","8","17","2.1","6","0","0","0","0","0","0","0","0","1","1.7","1.7","0.8%"
"55","Javonte Williams (DAL)","6","23","3.8","13","0","0","3","6","13","4.3","0","1","1","1.6","1.6","71.3%"
"56","Jerome Ford (CLE)","2","14","7.0","11","0","0","0","0","0","0","0","0","1","1.4","1.4","40.1%"
"57","Jonathan Ward (NYG)","3","13","4.3","6","0","0","0","0","0","0","0","0","1","1.3","1.3","0.0%"
"58","Terrell Jennings (NE)","5","13","2.6","5","0","0","0","0","0","0","0","0","1","1.3","1.3","0.0%"
"59","Audric Estime (DEN)","2","13","6.5","11","0","0","0","0","0","0","0","0","1","1.3","1.3","2.6%"
"60","Eric Gray (NYG)","3","13","4.3","6","0","0","0","0","0","0","0","0","1","1.3","1.3","0.6%"
"61","Miles Sanders (DAL)","3","1","0.3","3","0","0","1","1","12","12.0","0","0","1","1.3","1.3","6.4%"
"62","Jeremy McNichols (WAS)","2","9","4.5","5","0","0","0","0","0","0","0","0","1","0.9","0.9","0.7%"
"63","Braelon Allen (NYJ)","3","8","2.7","6","0","0","0","2","0","0","0","0","1","0.8","0.8","29.4%"
"64","Dare Ogunbowale (HOU)","2","8","4.0","4","0","0","0","0","0","0","0","0","1","0.8","0.8","0.7%"
"65","Jamaal Williams (FA)","2","7","3.5","9","0","0","0","0","0","0","0","0","1","0.7","0.7","1.1%"
"66","Hassan Haskins (LAC)","2","5","2.5","3","0","0","0","0","0","0","0","0","1","0.5","0.5","1.1%"
"67","Sione Vaki (DET)","1","5","5.0","5","0","0","0","0","0","0","0","0","1","0.5","0.5","0.6%"
"68","Justice Hill (BAL)","1","2","2.0","2","0","0","1","1","2","2.0","0","0","1","0.4","0.4","12.4%"
"69","Julius Chestnut (TEN)","1","2","2.0","2","0","0","0","0","0","0","0","0","1","0.2","0.2","1.1%"
"70","George Holani (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"71","D.J. Williams (FA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"72","Keilan Robinson (PHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"73","Jase McClellan (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.0%"
"74","Elijah Mitchell (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3.2%"
"75","Khalil Herbert (IND)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","1.8%"
"76","Javian Hawkins (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"77","Michael Carter (ARI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.1%"
"78","Rhamondre Stevenson (NE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","73.9%"
"79","Reggie Gilliam (BUF)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"80","Deon Jackson (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"81","Zamir White (LV)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.3%"
"82","Brian Robinson Jr. (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","84.9%"
"83","Jermar Jefferson (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.6%"
"84","Clyde Edwards-Helaire (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.9%"
"85","Jonathan Taylor (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","99.2%"
"86","Khari Blasingame (FA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"87","La'Mical Perine (FA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"88","Ke'Shawn Vaughn (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
