"Rank","Player","ATT","YDS","Y/A","LG","20+","TD","TGT","REC","YDS","Y/R","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Christian McCaffrey (SF)","28","106","3.8","16","0","1","6","5","67","13.4","1","0","1","29.3","29.3","99.8%"
"2","Rico Dowdle (CAR)","25","130","5.2","29","1","2","3","2","11","5.5","0","0","1","26.1","26.1","67.7%"
"3","Kyle Monangai (CHI)","26","176","6.8","39","1","0","5","3","22","7.3","0","0","1","19.8","19.8","71.5%"
"4","Kyren Williams (LAR)","25","114","4.6","15","0","1","0","0","0","0","0","0","1","17.4","17.4","99.4%"
"5","Josh Jacobs (GB)","17","87","5.1","18","0","1","5","4","13","3.3","0","0","1","16.0","16.0","99.7%"
"6","Jaylen Warren (PIT)","16","31","1.9","8","0","2","2","2","-2","-1.0","0","0","1","14.9","14.9","91.5%"
"7","Ashton Jeanty (LV)","13","42","3.2","13","0","0","5","5","47","9.4","1","0","1","14.9","14.9","99.2%"
"8","Chris Rodriguez Jr. (WAS)","12","65","5.4","12","0","1","0","0","0","0","0","0","1","12.5","12.5","3.0%"
"9","James Cook III (BUF)","27","114","4.2","17","0","0","1","1","11","11.0","0","0","1","12.5","12.5","99.4%"
"10","Derrick Henry (BAL)","19","119","6.3","35","1","0","1","1","2","2.0","0","0","1","12.1","12.1","99.7%"
"11","RJ Harvey (DEN)","2","5","2.5","3","0","0","5","5","51","10.2","1","0","1","11.6","11.6","73.3%"
"12","Travis Etienne Jr. (JAC)","22","84","3.8","20","1","0","5","5","31","6.2","0","0","1","11.5","11.5","90.4%"
"13","Kareem Hunt (KC)","11","49","4.5","13","0","1","2","1","6","6.0","0","0","1","11.5","11.5","49.6%"
"14","Brian Robinson Jr. (SF)","5","53","10.6","18","0","1","0","0","0","0","0","0","1","11.3","11.3","44.2%"
"15","Chase Brown (CIN)","11","37","3.4","12","0","0","14","8","75","9.4","0","0","1","11.2","11.2","97.8%"
"16","De'Von Achane (MIA)","14","67","4.8","22","1","0","10","6","39","6.5","0","0","1","10.6","10.6","99.7%"
"17","Terrell Jennings (NE)","11","35","3.2","11","0","1","1","1","9","9.0","0","0","1","10.4","10.4","2.8%"
