"Rank","Player","CMP","ATT","PCT","YDS","Y/A","TD","INT","SACKS","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Caleb Williams (CHI)","20","34","58.8","280","8.2","3","0","2","5","53","0","0","1","36.7","36.7","78.0%"
"2","Joe Flacco (CIN)","31","47","66.0","470","10.0","4","2","3","1","-1","0","1","1","32.7","32.7","45.6%"
"3","Josh Allen (BUF)","23","26","88.5","273","10.5","1","0","3","6","19","2","0","1","28.8","28.8","99.7%"
"4","Justin Herbert (LAC)","19","29","65.5","250","8.6","2","1","6","9","57","1","0","1","28.7","28.7","93.4%"
"5","Sam Darnold (SEA)","21","24","87.5","330","13.8","4","1","0","0","0","0","0","1","28.2","28.2","38.9%"
"6","Geno Smith (LV)","29","39","74.4","284","7.3","4","1","2","5","9","0","0","1","27.3","27.3","12.5%"
"7","Jaxson Dart (NYG)","24","33","72.7","191","5.8","2","0","2","8","56","1","0","1","27.2","27.2","74.2%"
"8","Matthew Stafford (LAR)","24","32","75.0","281","8.8","4","0","2","4","-4","0","0","1","26.8","26.8","79.7%"
"9","Lamar Jackson (BAL)","18","23","78.3","204","8.9","4","0","2","5","14","0","0","1","25.6","25.6","99.8%"
"10","Jacoby Brissett (ARI)","21","31","67.7","261","8.4","2","0","5","5","4","1","0","1","24.8","24.8","8.3%"
"11","Michael Penix Jr. (ATL)","22","37","59.5","221","6.0","3","0","1","2","19","0","0","1","22.7","22.7","16.9%"
"12","Trevor Lawrence (JAC)","23","34","67.6","220","6.5","0","1","1","9","24","2","0","1","22.2","22.2","38.9%"
"13","J.J. McCarthy (MIN)","14","25","56.0","143","5.7","2","1","5","9","12","1","0","1","19.9","19.9","26.2%"
"14","Bo Nix (DEN)","18","37","48.6","173","4.7","2","1","1","3","36","0","0","1","19.5","19.5","92.8%"
"15","Jared Goff (DET)","25","37","67.6","284","7.7","2","0","5","0","0","0","0","1","19.4","19.4","83.7%"
"16","Drake Maye (NE)","19","29","65.5","259","8.9","2","1","6","8","20","0","1","1","17.4","17.4","94.2%"
"17","Daniel Jones (IND)","31","50","62.0","342","6.8","1","3","5","3","4","1","2","1","17.1","17.1","65.8%"
"18","Dak Prescott (DAL)","24","39","61.5","250","6.4","1","1","5","4","34","0","0","1","16.4","16.4","90.8%"
"19","Jayden Daniels (WAS)","16","22","72.7","153","7.0","0","1","4","10","51","1","0","1","16.2","16.2","96.0%"
"20","Mac Jones (SF)","19","24","79.2","235","9.8","2","0","2","4","4","0","1","1","15.8","15.8","8.1%"
"21","Aaron Rodgers (PIT)","25","35","71.4","203","5.8","1","0","3","2","0","0","0","1","12.1","12.1","41.5%"
"22","Patrick Mahomes II (KC)","15","34","44.1","250","7.4","0","1","3","1","5","0","0","1","11.5","11.5","99.2%"
"23","Tyler Shough (NO)","15","24","62.5","176","7.3","1","1","1","1","2","0","0","1","10.2","10.2","4.2%"
"24","Jordan Love (GB)","26","37","70.3","273","7.4","0","1","1","1","1","0","0","1","10.0","10.0","79.2%"
"25","Tua Tagovailoa (MIA)","25","40","62.5","261","6.5","0","1","2","1","1","0","0","1","9.5","9.5","23.2%"
"26","Cam Ward (TEN)","12","21","57.1","145","6.9","0","0","4","2","6","0","0","1","6.4","6.4","10.9%"
"27","Davis Mills (HOU)","17","30","56.7","137","4.6","0","0","2","2","7","0","0","1","6.2","6.2","1.0%"
"28","C.J. Stroud (HOU)","6","10","60.0","79","7.9","0","0","2","2","12","0","0","1","4.4","4.4","64.6%"
"29","Bryce Young (CAR)","11","20","55.0","102","5.1","0","1","1","2","9","0","0","1","4.0","4.0","18.4%"
"30","Tyson Bagent (CHI)","1","1","100.0","20","20.0","0","0","0","0","0","0","0","1","0.8","0.8","0.6%"
