"Rank","Player","TGT","REC","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Brock Bowers (LV)","13","12","127","10.6","27","2","3","1","6","0","0","1","31.3","31.3","97.0%"
"2","Colston Loveland (CHI)","7","6","118","19.7","58","2","2","0","0","0","0","1","23.8","23.8","24.6%"
"3","Dalton Kincaid (BUF)","6","6","101","16.8","47","2","1","0","0","0","0","1","16.1","16.1","78.2%"
"4","Sam LaPorta (DET)","8","6","97","16.2","40","1","1","0","0","0","0","1","15.7","15.7","98.0%"
"5","Mark Andrews (BAL)","3","2","22","11.0","20","1","2","2","4","0","0","1","14.6","14.6","78.0%"
"6","Trey McBride (ARI)","9","5","55","11.0","19","0","1","0","0","0","0","1","11.5","11.5","99.7%"
"7","Juwan Johnson (NO)","4","3","31","10.3","12","0","1","0","0","0","0","1","9.1","9.1","25.2%"
"8","Elijah Arroyo (SEA)","2","2","29","14.5","26","1","1","0","0","0","0","1","8.9","8.9","2.2%"
"9","Noah Fant (CIN)","3","2","28","14.0","23","1","1","0","0","0","0","1","8.8","8.8","4.2%"
"10","Theo Johnson (NYG)","6","3","27","9.0","15","0","1","0","0","0","0","1","8.7","8.7","29.2%"
"11","Pat Freiermuth (PIT)","4","3","27","9.0","12","0","1","0","0","0","0","1","8.7","8.7","8.8%"
"12","Travis Kelce (KC)","5","4","66","16.5","28","2","0","0","0","0","0","1","8.6","8.6","97.2%"
"13","AJ Barner (SEA)","4","3","24","8.0","9","0","0","1","1","1","0","1","8.5","8.5","15.4%"
"14","Charlie Kolar (BAL)","2","2","23","11.5","20","1","1","0","0","0","0","1","8.3","8.3","0.1%"
"15","Dalton Schultz (HOU)","8","6","77","12.8","47","1","0","0","0","0","0","1","7.7","7.7","25.3%"
"16","Tyler Higbee (LAR)","4","3","13","4.3","8","0","1","0","0","0","0","1","7.3","7.3","3.6%"
"17","T.J. Hockenson (MIN)","3","2","11","5.5","7","0","1","0","0","0","0","1","7.1","7.1","85.9%"
"18","Oronde Gadsden II (LAC)","5","5","68","13.6","34","1","0","0","0","0","0","1","6.8","6.8","82.5%"
