"Rank","Player","TGT","REC","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Drake London (ATL)","14","9","118","13.1","40","2","3","0","0","0","0","1","29.8","29.8","99.4%"
"2","Tee Higgins (CIN)","9","7","121","17.3","44","3","2","0","0","0","0","1","26.1","26.1","97.7%"
"3","DJ Moore (CHI)","6","4","72","18.0","23","1","0","1","17","1","0","1","19.0","19.0","85.1%"
"4","Davante Adams (LAR)","7","5","60","12.0","29","2","2","0","0","0","0","1","18.0","18.0","98.5%"
"5","Tory Horton (SEA)","4","4","48","12.0","25","1","2","0","0","0","0","1","16.8","16.8","8.7%"
"6","DeMario Douglas (NE)","6","4","100","25.0","58","1","1","0","0","0","0","1","16.0","16.0","11.4%"
"7","Puka Nacua (LAR)","8","7","95","13.6","39","1","1","1","3","0","0","1","15.8","15.8","99.8%"
"8","Marvin Harrison Jr. (ARI)","10","7","96","13.7","20","1","1","0","0","0","0","1","15.6","15.6","95.2%"
"9","Rashee Rice (KC)","7","4","80","20.0","29","3","0","2","6","1","0","1","14.6","14.6","97.8%"
"10","Jaxon Smith-Njigba (SEA)","9","8","129","16.1","26","3","0","1","11","0","0","1","14.0","14.0","99.5%"
"11","Andrei Iosivas (CIN)","7","5","66","13.2","28","1","1","1","4","0","0","1","13.0","13.0","1.4%"
"12","Jameson Williams (DET)","6","4","66","16.5","37","1","1","0","0","0","0","1","12.6","12.6","86.5%"
"13","Cody White (SEA)","2","1","60","60.0","60","1","1","0","0","0","0","1","12.0","12.0","0.0%"
"14","Olamide Zaccheaus (CHI)","8","6","58","9.7","15","0","1","0","0","0","0","1","11.8","11.8","1.4%"
"15","Alec Pierce (IND)","13","6","115","19.2","36","2","0","0","0","0","0","1","11.5","11.5","16.7%"
"16","Michael Pittman Jr. (IND)","12","9","115","12.8","21","1","0","0","0","0","0","1","11.5","11.5","87.6%"
"17","Quentin Johnston (LAC)","5","4","53","13.3","23","1","1","0","0","0","0","1","11.3","11.3","62.1%"
"18","Ja'Marr Chase (CIN)","8","6","111","18.5","36","2","0","0","0","0","0","1","11.1","11.1","99.6%"
"19","Justin Jefferson (MIN)","9","6","47","7.8","21","1","1","0","0","0","0","1","10.7","10.7","99.8%"
"20","Jauan Jennings (SF)","5","4","41","10.3","20","1","1","0","0","0","0","1","10.1","10.1","77.8%"
"21","Stefon Diggs (NE)","4","3","38","12.7","21","1","1","0","0","0","0","1","9.8","9.8","91.1%"
"22","Josh Downs (IND)","9","6","57","9.5","17","0","1","0","0","0","1","1","9.7","9.7","62.3%"
"23","Amon-Ra St. Brown (DET)","13","9","97","10.8","19","0","0","0","0","0","0","1","9.7","9.7","99.6%"
"24","Romeo Doubs (GB)","10","7","91","13.0","30","2","0","0","0","0","0","1","9.1","9.1","55.8%"
"25","Parker Washington (JAC)","9","8","90","11.3","22","1","0","0","0","0","0","1","9.0","9.0","8.1%"
"26","Courtland Sutton (DEN)","6","1","30","30.0","30","1","1","0","0","0","0","1","9.0","9.0","95.4%"
"27","CeeDee Lamb (DAL)","12","7","85","12.1","33","1","0","0","0","0","0","1","8.5","8.5","99.8%"
"28","Gunner Olszewski (NYG)","1","1","24","24.0","24","1","1","0","0","0","0","1","8.4","8.4","0.1%"
